did,dataset_name,num_instances,num_attributes,dimensionality,num_numeric_attr,pct_numeric_attr,num_nominal_attr,pct_nominal_attr,avg_nominal_values,sd_nominal_values,min_nominal_values,max_nominal_values,avg_numeric_mean,sd_numeric_mean,min_numeric_mean,max_numeric_mean,missing_attr_cnt,missing_attr_pct,missing_instances_max_cnt,missing_instances_max_pct,missing_instances_min_cnt,missing_instances_min_pct,missing_instances_mean,missing_instances_mean_pct
171,primary-tumor,339,18,5.30973,0,0,18,100,3.22222,4.32763,2,21,0,0,0,0,5,27.7778,155,45.7227,1,0.294985,12.5,3.68732
185,baseball,1340,18,1.34328,15,83.3333,3,16.6667,449.667,628.856,3,1339,637.4,1124.76,0,4535,1,5.55556,20,1.49254,20,1.49254,1.11111,0.0829187
6331,LoanDefaultPrediction,105471,771,0.731007,765,99.2218,6,0.77821,24.8333,26.8478,2,64,1.96E+08,6.05E+08,-9,2.15E+09,525,68.0934,18833,17.8561,1,0.000948128,1019.4,0.966519
1090,MercuryinBass,53,12,22.6415,11,91.6667,1,8.33333,53,0,53,53,12.1818,12.7052,0,38,0,0,0,0,0,0,0,0
575,kdd_coil_4,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,45.7778,53.9027,1,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
1051,cocomo_numeric,60,17,28.3333,2,11.7647,15,88.2353,3.66667,0.699206,3,5,240.5,165.5,75,406,0,0,0,0,0,0,0,0
1481,kr-vs-k,28056,7,0.0249501,3,42.8571,4,57.1429,9.5,5.17204,4,18,3.66667,1.24722,2,5,0,0,0,0,0,0,0,0
382,ipums_la_97-small,7019,61,0.86907,0,0,61,100,49.0328,94.0845,1,488,0,0,0,0,18,29.5082,6276,89.4144,135,1.92335,788.344,11.2316
576,kdd_coil_5,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,46.3333,53.4623,3,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
1465,breast-tissue,106,10,9.43396,9,90,1,10,6,0,6,6,51.5556,2.71257,46,53,0,0,0,0,0,0,0,0
1567,poker-hand,1.03E+06,11,0.00107316,10,90.9091,1,9.09091,10,0,10,10,4.8,2.22711,2,7,0,0,0,0,0,0,0,0
2,anneal,898,39,4.34298,6,15.3846,33,84.6154,1.63636,1.53382,0,7,348.667,496.125,1,1263,29,74.359,898,100,86,9.57684,568.59,63.3173
489,dj30-1985-2003,138166,9,0.0065139,7,77.7778,1,11.1111,30,0,30,30,434977,1.04E+06,23,2.98E+06,0,0,0,0,0,0,0,0
1037,ada_prior,4562,15,0.328803,6,40,9,60,10.8889,10.9183,2,39,32078.8,71107.4,10,191077,1,6.66667,88,1.92898,88,1.92898,5.86667,0.128599
183,abalone,4177,9,0.215466,7,77.7778,2,22.2222,15.5,12.5,3,28,0.285714,0.451754,0,1,0,0,0,0,0,0,0,0
1524,vertebra-column,310,7,2.25806,6,85.7143,1,14.2857,2,0,2,2,52.8333,32.4778,18,118,0,0,0,0,0,0,0,0
552,detroit,13,14,107.692,14,100,0,0,0,0,0,0,32568.4,116470,4,452508,0,0,0,0,0,0,0,0
1098,pubexpendat,48,8,16.6667,7,87.5,1,12.5,48,0,48,48,69.5714,93.5336,1,287,0,0,0,0,0,0,0,0
561,cpu,209,8,3.82775,7,87.5,1,12.5,30,0,30,30,2145,4057.03,5,11796,0,0,0,0,0,0,0,0
1463,blogger,100,6,6,0,0,6,100,2.83333,1.06719,2,5,0,0,0,0,0,0,0,0,0,0,0,0
568,kdd_coil_2,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,46.4444,53.3794,3,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
1095,Cereals,77,16,20.7792,13,81.25,3,18.75,28.6667,34.2377,2,77,35.8462,49.9905,1,160,0,0,0,0,0,0,0,0
1069,pc2,5589,37,0.662015,36,97.2973,1,2.7027,2,0,2,2,80.9167,409.542,0,2498,0,0,0,0,0,0,0,0
4534,PhishingWebsites,11055,31,0.280416,0,0,31,100,2.25806,0.43757,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1458,arcene,200,10001,5000.5,999,9.989,1,0.009999,2,0,2,2,72.9029,99.274,0,478,0,0,0,0,0,0,0,0
1027,ESL,488,5,1.02459,5,100,0,0,0,0,0,0,5.4,0.489898,5,6,0,0,0,0,0,0,0,0
1071,mw1,403,38,9.42928,37,97.3684,1,2.63158,2,0,2,2,251.892,1292.77,0,7985,0,0,0,0,0,0,0,0
1517,robot-failures-lp2,47,91,193.617,90,98.9011,1,1.0989,5,0,5,5,8.57778,33.0461,-21,83,0,0,0,0,0,0,0,0
164,molecular-biology_promoters,106,59,55.6604,0,0,59,100,5.69492,13.1732,2,106,0,0,0,0,0,0,0,0,0,0,0,0
381,ipums_la_98-small,7485,61,0.814963,0,0,61,100,153.344,534.146,1,3594,0,0,0,0,17,27.8689,5314,70.9953,132,1.76353,853.246,11.3994
44,spambase,4601,58,1.2606,57,98.2759,1,1.72414,2,0,2,2,6.07018,37.633,0,283,0,0,0,0,0,0,0,0
1489,phoneme,5404,6,0.111029,5,83.3333,1,16.6667,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
542,pollution,60,16,26.6667,16,100,0,0,0,0,0,0,331.938,941.066,3,3876,0,0,0,0,0,0,0,0
1119,adult-census,32561,16,0.0491385,7,43.75,9,56.25,11.2222,11.4579,2,41,29616.1,65620.3,10,189778,3,18.75,1843,5.66015,583,1.79049,266.375,0.81808
1050,pc3,1563,38,2.43122,37,97.3684,1,2.63158,2,0,2,2,1008.11,5520.47,0,34073,0,0,0,0,0,0,0,0
1045,kc1-top5,145,95,65.5172,94,98.9474,1,1.05263,2,0,2,2,1290.46,8261.93,0,76250,0,0,0,0,0,0,0,0
510,sleep,62,11,17.7419,10,90.9091,1,9.09091,62,0,62,62,67.4,97.4958,2,283,5,45.4545,14,22.5806,4,6.45161,3.45455,5.57185
577,kdd_coil_6,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,46.3333,53.4623,3,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
573,cpu_act,8192,22,0.268555,22,100,0,0,0,0,0,0,73907.6,277306,1,1.33E+06,0,0,0,0,0,0,0,0
1516,robot-failures-lp1,88,91,103.409,90,98.9011,1,1.0989,4,0,4,4,-27.3778,48.4691,-167,13,0,0,0,0,0,0,0,0
1065,kc3,458,40,8.73362,39,97.5,1,2.5,2,0,2,2,395.513,2167.64,0,13728,0,0,0,0,0,0,0,0
578,kdd_coil_7,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,45.8889,53.8113,2,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
666,rmftsa_ladata,508,11,2.16535,11,100,0,0,0,0,0,0,47.8182,47.975,3,169,0,0,0,0,0,0,0,0
211,longley,16,7,43.75,7,100,0,0,0,0,0,0,82613.7,131263,102,387698,0,0,0,0,0,0,0,0
1510,wdbc,569,31,5.44815,30,96.7742,1,3.22581,2,0,2,2,61.8,192.667,0,881,0,0,0,0,0,0,0,0
679,rmftsa_sleepdata,1024,3,0.292969,2,66.6667,1,33.3333,4,0,4,4,85.5,48.5,37,134,0,0,0,0,0,0,0,0
1509,walking-activity,149332,5,0.00334824,4,80,1,20,22,0,22,22,48.5,79.4874,-2,186,0,0,0,0,0,0,0,0
179,adult,48842,15,0.0307113,2,13.3333,13,86.6667,9.30769,9.95671,2,41,94837,94827,10,189664,3,20,2809,5.7512,857,1.75464,431,0.882437
1091,SMSA,59,17,28.8136,16,94.1176,1,5.88235,59,0,59,59,92284.4,347564,3,1.44E+06,0,0,0,0,0,0,0,0
1038,gina_agnostic,3468,971,27.9988,970,99.897,1,0.102987,2,0,2,2,53.9959,42.7656,1,140,0,0,0,0,0,0,0,0
4544,GeographicalOriginalofMusic,1059,118,11.1426,118,100,0,0,0,0,0,0,0.550847,4.2558,0,38,0,0,0,0,0,0,0,0
1,anneal,898,39,4.34298,6,15.3846,33,84.6154,2.51515,1.47958,1,8,348.667,496.125,1,1263,0,0,0,0,0,0,0,0
570,kdd_coil_3,316,12,3.79747,9,75,3,25,3.33333,0.471405,3,4,46.1111,53.6334,3,160,8,66.6667,23,7.27848,2,0.632911,4.66667,1.47679
4552,BachChoralHarmony,5665,17,0.300088,2,11.7647,15,88.2353,13.6,28.0209,2,102,28,25,3,53,0,0,0,0,0,0,0,0
1499,seeds,210,8,3.80952,7,87.5,1,12.5,3,0,3,3,7,5.26444,1,15,0,0,0,0,0,0,0,0
225,puma8NH,8192,9,0.109863,9,100,0,0,0,0,0,0,0.111111,0.31427,0,1,0,0,0,0,0,0,0,0
488,colleges_aaup,1161,17,1.46425,14,82.3529,3,17.6471,398.667,524.568,4,1140,529.714,726.712,13,3052,6,35.2941,68,5.85702,24,2.06718,15.0588,1.29706
6,letter,20000,17,0.085,16,94.1176,1,5.88235,26,0,26,26,5.9375,1.71277,3,8,0,0,0,0,0,0,0,0
172,shuttle-landing-control,15,7,46.6667,0,0,7,100,2.57143,0.903508,2,4,0,0,0,0,5,71.4286,8,53.3333,2,13.3333,3.71429,24.7619
