did1,did2,dataset_name1,dataset_name2,num_instances,num_attributes,dimensionality,num_numeric_attr,pct_numeric_attr,num_nominal_attr,pct_nominal_attr,avg_nominal_values,sd_nominal_values,min_nominal_values,max_nominal_values,avg_numeric_mean,sd_numeric_mean,min_numeric_mean,max_numeric_mean,missing_attr_cnt,missing_attr_pct,missing_instances_max_cnt,missing_instances_max_pct,missing_instances_min_cnt,missing_instances_min_pct,missing_instances_mean,missing_instances_mean_pct,datesets_subject_main_match,datesets_duplicates_match
967,991,cars,car,0.765046,0.222222,0.817258,1,1,0.571429,0.666667,0.9691,0.995188,0,0.987179,1,1,1,1,1,1,1,1,1,1,1,1,1,0
967,1092,cars,Crash,0.133005,0.357143,0.442646,0.142857,0.25,0.5,0.222222,0.418495,0.515231,0,0.442308,0.313309,0.121027,0.8125,0.0164485,0.6,0.377778,0.878788,0.89491,0.333333,0.422003,0.800204,0.826778,1,0
967,1235,cars,Agrawal1,0.999594,0.1,0.999549,0,0.1,0.25,0.166667,0.915361,0.953112,0,0.935897,0.992982,0.987935,0,0.988089,1,1,1,1,1,1,1,1,0,0
967,1242,cars,vehicleNorm,0.995879,0.910891,0.953757,0.94,0.326667,0.666667,0.970297,0.981191,1,0,0.99359,1,0.999456,1,0.999664,1,1,1,1,1,1,1,1,0,0
967,1169,cars,airlines,0.999247,0.111111,0.999331,0.5,0.4375,0.4,0.466667,0.132681,0.0426735,0,0.0608974,0.495242,0.108152,0.878788,0.184961,1,1,1,1,1,1,1,1,0,0
967,5587,cars,COMET_MC,0.999947,0.333333,0.999965,0,0.333333,1,1,1,1,1,1,0.99911,0.999239,1,0.999218,1,1,1,1,1,1,1,1,0,0
967,5648,cars,COMET_MC,0.999947,0.333333,0.999965,0,0.333333,1,1,1,1,1,1,0.99911,0.999239,1,0.999218,1,1,1,1,1,1,1,1,0,0
967,5889,cars,COMET_MC,0.999947,0.333333,0.999965,0,0.333333,1,1,1,1,1,1,0.99911,0.999239,1,0.999218,1,1,1,1,1,1,1,1,0,0
967,1076,cars,nasa_numeric,0.770936,0.625,0.914101,0.333333,0.75,0.85,0.6,0.95721,0.982952,0,0.955128,0.176071,0.277621,0.666667,0.335012,1,1,1,1,1,1,1,1,0,0
967,1068,cars,pc1,0.633904,0.590909,0.1051,0.714286,0.301587,0.666667,0.863636,0.981191,1,0,0.99359,0.623017,0.823393,1,0.896645,1,1,1,1,1,1,1,1,0,0
